date,mode_line,ridership,mode,DayOfWeek,TypeOfDay
2022-12-20,lrt ampang,155502,LRT,Tuesday,Weekday
2022-12-21,lrt ampang,156148,LRT,Wednesday,Weekday
2022-12-22,lrt ampang,154101,LRT,Thursday,Weekday
2022-12-23,lrt ampang,160878,LRT,Friday,Weekday
2022-12-24,lrt ampang,141842,LRT,Saturday,Weekend
2022-12-25,lrt ampang,120559,LRT,Sunday,Weekend
2022-12-26,lrt ampang,100469,LRT,Monday,Weekday
2022-12-27,lrt ampang,144998,LRT,Tuesday,Weekday
2022-12-28,lrt ampang,147319,LRT,Wednesday,Weekday
2022-12-29,lrt ampang,146241,LRT,Thursday,Weekday
2022-12-30,lrt ampang,150034,LRT,Friday,Weekday
2022-12-31,lrt ampang,138382,LRT,Saturday,Weekend
2023-01-01,lrt ampang,115467,LRT,Sunday,Weekend
2023-01-02,lrt ampang,89820,LRT,Monday,Weekday
2023-01-03,lrt ampang,191994,LRT,Tuesday,Weekday
2023-01-04,lrt ampang,160504,LRT,Wednesday,Weekday
2023-01-05,lrt ampang,158133,LRT,Thursday,Weekday
2023-01-06,lrt ampang,162067,LRT,Friday,Weekday
2023-01-07,lrt ampang,149618,LRT,Saturday,Weekend
2023-01-08,lrt ampang,91472,LRT,Sunday,Weekend
2023-01-09,lrt ampang,163522,LRT,Monday,Weekday
2023-01-10,lrt ampang,168476,LRT,Tuesday,Weekday
2023-01-11,lrt ampang,173549,LRT,Wednesday,Weekday
2023-01-12,lrt ampang,171901,LRT,Thursday,Weekday
2023-01-13,lrt ampang,175529,LRT,Friday,Weekday
2023-01-14,lrt ampang,117070,LRT,Saturday,Weekend
2023-01-15,lrt ampang,126288,LRT,Sunday,Weekend
2023-01-16,lrt ampang,163697,LRT,Monday,Weekday
2023-01-17,lrt ampang,170034,LRT,Tuesday,Weekday
2023-01-18,lrt ampang,173405,LRT,Wednesday,Weekday
2023-01-19,lrt ampang,174880,LRT,Thursday,Weekday
2023-01-20,lrt ampang,157762,LRT,Friday,Weekday
2023-01-21,lrt ampang,100099,LRT,Saturday,Weekend
2023-01-22,lrt ampang,104291,LRT,Sunday,Weekend
2023-01-23,lrt ampang,99938,LRT,Monday,Weekday
2023-01-24,lrt ampang,85384,LRT,Tuesday,Weekday
2023-01-25,lrt ampang,128882,LRT,Wednesday,Weekday
2023-01-26,lrt ampang,133492,LRT,Thursday,Weekday
2023-01-27,lrt ampang,128567,LRT,Friday,Weekday
2023-01-28,lrt ampang,118891,LRT,Saturday,Weekend
2023-01-29,lrt ampang,82803,LRT,Sunday,Weekend
2023-01-30,lrt ampang,138834,LRT,Monday,Weekday
2023-01-31,lrt ampang,142870,LRT,Tuesday,Weekday
2023-02-01,lrt ampang,92490,LRT,Wednesday,Weekday
2023-02-02,lrt ampang,146401,LRT,Thursday,Weekday
2023-02-03,lrt ampang,150563,LRT,Friday,Weekday
2023-02-04,lrt ampang,98443,LRT,Saturday,Weekend
2023-02-05,lrt ampang,87869,LRT,Sunday,Weekend
2023-02-06,lrt ampang,76272,LRT,Monday,Weekday
2023-02-07,lrt ampang,145987,LRT,Tuesday,Weekday
2023-02-08,lrt ampang,149118,LRT,Wednesday,Weekday
2023-02-09,lrt ampang,146689,LRT,Thursday,Weekday
2023-02-10,lrt ampang,149205,LRT,Friday,Weekday
2023-02-11,lrt ampang,132885,LRT,Saturday,Weekend
2023-02-12,lrt ampang,91573,LRT,Sunday,Weekend
2023-02-13,lrt ampang,147759,LRT,Monday,Weekday
2023-02-14,lrt ampang,153891,LRT,Tuesday,Weekday
2023-02-15,lrt ampang,151032,LRT,Wednesday,Weekday
2023-02-16,lrt ampang,149254,LRT,Thursday,Weekday
2023-02-17,lrt ampang,152272,LRT,Friday,Weekday
2023-02-18,lrt ampang,102683,LRT,Saturday,Weekend
2023-02-19,lrt ampang,92005,LRT,Sunday,Weekend
2023-02-20,lrt ampang,142058,LRT,Monday,Weekday
2023-02-21,lrt ampang,145244,LRT,Tuesday,Weekday
2023-02-22,lrt ampang,148150,LRT,Wednesday,Weekday
2023-02-23,lrt ampang,147057,LRT,Thursday,Weekday
2023-02-24,lrt ampang,149371,LRT,Friday,Weekday
2023-02-25,lrt ampang,100736,LRT,Saturday,Weekend
2023-02-26,lrt ampang,89343,LRT,Sunday,Weekend
2023-02-27,lrt ampang,137458,LRT,Monday,Weekday
2023-02-28,lrt ampang,141073,LRT,Tuesday,Weekday
2023-03-01,lrt ampang,148868,LRT,Wednesday,Weekday
2023-03-02,lrt ampang,147786,LRT,Thursday,Weekday
2023-03-03,lrt ampang,149640,LRT,Friday,Weekday
2023-03-04,lrt ampang,168384,LRT,Saturday,Weekend
2023-03-05,lrt ampang,99450,LRT,Sunday,Weekend
2023-03-06,lrt ampang,147080,LRT,Monday,Weekday
2023-03-07,lrt ampang,149853,LRT,Tuesday,Weekday
2023-03-08,lrt ampang,154959,LRT,Wednesday,Weekday
2023-03-09,lrt ampang,151292,LRT,Thursday,Weekday
2023-03-10,lrt ampang,150242,LRT,Friday,Weekday
2023-03-11,lrt ampang,105186,LRT,Saturday,Weekend
2023-03-12,lrt ampang,94621,LRT,Sunday,Weekend
2023-03-13,lrt ampang,146750,LRT,Monday,Weekday
2023-03-14,lrt ampang,150553,LRT,Tuesday,Weekday
2023-03-15,lrt ampang,153580,LRT,Wednesday,Weekday
2023-03-16,lrt ampang,152272,LRT,Thursday,Weekday
2023-03-17,lrt ampang,153510,LRT,Friday,Weekday
2023-03-18,lrt ampang,118171,LRT,Saturday,Weekend
2023-03-19,lrt ampang,103407,LRT,Sunday,Weekend
2023-03-20,lrt ampang,149525,LRT,Monday,Weekday
2023-03-21,lrt ampang,154444,LRT,Tuesday,Weekday
2023-03-22,lrt ampang,160028,LRT,Wednesday,Weekday
2023-03-23,lrt ampang,145300,LRT,Thursday,Weekday
2023-03-24,lrt ampang,145984,LRT,Friday,Weekday
2023-03-25,lrt ampang,91234,LRT,Saturday,Weekend
2023-03-26,lrt ampang,84770,LRT,Sunday,Weekend
2023-03-27,lrt ampang,141894,LRT,Monday,Weekday
2023-03-28,lrt ampang,146104,LRT,Tuesday,Weekday
2023-03-29,lrt ampang,146962,LRT,Wednesday,Weekday
2023-03-30,lrt ampang,146416,LRT,Thursday,Weekday
2023-03-31,lrt ampang,150414,LRT,Friday,Weekday
2023-04-01,lrt ampang,92646,LRT,Saturday,Weekend
2023-04-02,lrt ampang,74873,LRT,Sunday,Weekend
2023-04-03,lrt ampang,128403,LRT,Monday,Weekday
2023-04-04,lrt ampang,132094,LRT,Tuesday,Weekday
2023-04-05,lrt ampang,133122,LRT,Wednesday,Weekday
2023-04-06,lrt ampang,134499,LRT,Thursday,Weekday
2023-04-07,lrt ampang,134497,LRT,Friday,Weekday
2023-04-08,lrt ampang,93709,LRT,Saturday,Weekend
2023-04-09,lrt ampang,87183,LRT,Sunday,Weekend
2023-04-10,lrt ampang,133575,LRT,Monday,Weekday
2023-04-11,lrt ampang,136234,LRT,Tuesday,Weekday
2023-04-12,lrt ampang,137832,LRT,Wednesday,Weekday
2023-04-13,lrt ampang,135636,LRT,Thursday,Weekday
2023-04-14,lrt ampang,138070,LRT,Friday,Weekday
2023-04-15,lrt ampang,100248,LRT,Saturday,Weekend
2023-04-16,lrt ampang,86889,LRT,Sunday,Weekend
2023-04-17,lrt ampang,134216,LRT,Monday,Weekday
2023-04-18,lrt ampang,140288,LRT,Tuesday,Weekday
2023-04-19,lrt ampang,134237,LRT,Wednesday,Weekday
2023-04-20,lrt ampang,117269,LRT,Thursday,Weekday
2023-04-21,lrt ampang,88026,LRT,Friday,Weekday
2023-04-22,lrt ampang,85722,LRT,Saturday,Weekend
2023-04-23,lrt ampang,89689,LRT,Sunday,Weekend
2023-04-24,lrt ampang,72625,LRT,Monday,Weekday
2023-04-25,lrt ampang,100388,LRT,Tuesday,Weekday
2023-04-26,lrt ampang,108400,LRT,Wednesday,Weekday
2023-04-27,lrt ampang,112148,LRT,Thursday,Weekday
2023-04-28,lrt ampang,113102,LRT,Friday,Weekday
2023-04-29,lrt ampang,84014,LRT,Saturday,Weekend
2023-04-30,lrt ampang,79052,LRT,Sunday,Weekend
2023-05-01,lrt ampang,77329,LRT,Monday,Weekday
2023-05-02,lrt ampang,130834,LRT,Tuesday,Weekday
2023-05-03,lrt ampang,130830,LRT,Wednesday,Weekday
2023-05-04,lrt ampang,76525,LRT,Thursday,Weekday
2023-05-05,lrt ampang,123940,LRT,Friday,Weekday
2023-05-06,lrt ampang,86071,LRT,Saturday,Weekend
2023-05-07,lrt ampang,77914,LRT,Sunday,Weekend
2023-05-08,lrt ampang,131862,LRT,Monday,Weekday
2023-05-09,lrt ampang,134542,LRT,Tuesday,Weekday
2023-05-10,lrt ampang,135326,LRT,Wednesday,Weekday
2023-05-11,lrt ampang,135193,LRT,Thursday,Weekday
2023-05-12,lrt ampang,155220,LRT,Friday,Weekday
2023-05-13,lrt ampang,108804,LRT,Saturday,Weekend
2023-05-14,lrt ampang,95452,LRT,Sunday,Weekend
2023-05-15,lrt ampang,149682,LRT,Monday,Weekday
2023-05-16,lrt ampang,151847,LRT,Tuesday,Weekday
2023-05-17,lrt ampang,153952,LRT,Wednesday,Weekday
2023-05-18,lrt ampang,149259,LRT,Thursday,Weekday
2023-05-19,lrt ampang,151662,LRT,Friday,Weekday
2023-05-20,lrt ampang,112752,LRT,Saturday,Weekend
2023-05-21,lrt ampang,91464,LRT,Sunday,Weekend
2023-05-22,lrt ampang,146979,LRT,Monday,Weekday
2023-05-23,lrt ampang,150232,LRT,Tuesday,Weekday
2023-05-24,lrt ampang,151343,LRT,Wednesday,Weekday
2023-05-25,lrt ampang,151274,LRT,Thursday,Weekday
2023-05-26,lrt ampang,162951,LRT,Friday,Weekday
2023-05-27,lrt ampang,139102,LRT,Saturday,Weekend
2023-05-28,lrt ampang,121106,LRT,Sunday,Weekend
2023-05-29,lrt ampang,165647,LRT,Monday,Weekday
2023-05-30,lrt ampang,169100,LRT,Tuesday,Weekday
2023-05-31,lrt ampang,176657,LRT,Wednesday,Weekday
2023-06-01,lrt ampang,175361,LRT,Thursday,Weekday
2023-06-02,lrt ampang,176485,LRT,Friday,Weekday
2023-06-03,lrt ampang,146465,LRT,Saturday,Weekend
2023-06-04,lrt ampang,131090,LRT,Sunday,Weekend
2023-06-05,lrt ampang,89366,LRT,Monday,Weekday
2023-06-06,lrt ampang,153661,LRT,Tuesday,Weekday
2023-06-07,lrt ampang,156567,LRT,Wednesday,Weekday
2023-06-08,lrt ampang,158115,LRT,Thursday,Weekday
2023-06-09,lrt ampang,155450,LRT,Friday,Weekday
2023-06-10,lrt ampang,109688,LRT,Saturday,Weekend
2023-06-11,lrt ampang,96137,LRT,Sunday,Weekend
2023-06-12,lrt ampang,151140,LRT,Monday,Weekday
2023-06-13,lrt ampang,154145,LRT,Tuesday,Weekday
2023-06-14,lrt ampang,155494,LRT,Wednesday,Weekday
2023-06-15,lrt ampang,154757,LRT,Thursday,Weekday
2023-06-16,lrt ampang,154099,LRT,Friday,Weekday
2023-06-17,lrt ampang,106553,LRT,Saturday,Weekend
2023-06-18,lrt ampang,99336,LRT,Sunday,Weekend
2023-06-19,lrt ampang,147796,LRT,Monday,Weekday
2023-06-20,lrt ampang,152233,LRT,Tuesday,Weekday
2023-06-21,lrt ampang,152905,LRT,Wednesday,Weekday
2023-06-22,lrt ampang,151261,LRT,Thursday,Weekday
2023-06-23,lrt ampang,151629,LRT,Friday,Weekday
2023-06-24,lrt ampang,105357,LRT,Saturday,Weekend
2023-06-25,lrt ampang,89285,LRT,Sunday,Weekend
2023-06-26,lrt ampang,141876,LRT,Monday,Weekday
2023-06-27,lrt ampang,158847,LRT,Tuesday,Weekday
2023-06-28,lrt ampang,150136,LRT,Wednesday,Weekday
2023-06-29,lrt ampang,94379,LRT,Thursday,Weekday
2023-06-30,lrt ampang,124076,LRT,Friday,Weekday
2023-07-01,lrt ampang,96982,LRT,Saturday,Weekend
2023-07-02,lrt ampang,88114,LRT,Sunday,Weekend
