date,mode_line,ridership,mode
12/11/2019,lrt ampang,207274,LRT
13/11/2019,lrt ampang,208366,LRT
14/11/2019,lrt ampang,236376,LRT
15/11/2019,lrt ampang,222697,LRT
16/11/2019,lrt ampang,134678,LRT
17/11/2019,lrt ampang,115570,LRT
18/11/2019,lrt ampang,205893,LRT
19/11/2019,lrt ampang,258313,LRT
20/11/2019,lrt ampang,206109,LRT
21/11/2019,lrt ampang,206737,LRT
22/11/2019,lrt ampang,217402,LRT
23/11/2019,lrt ampang,145595,LRT
24/11/2019,lrt ampang,113359,LRT
25/11/2019,lrt ampang,203328,LRT
26/11/2019,lrt ampang,203241,LRT
27/11/2019,lrt ampang,208007,LRT
28/11/2019,lrt ampang,209634,LRT
29/11/2019,lrt ampang,222561,LRT
30/11/2019,lrt ampang,145776,LRT
1/12/2019,lrt ampang,126630,LRT
2/12/2019,lrt ampang,208603,LRT
3/12/2019,lrt ampang,207474,LRT
4/12/2019,lrt ampang,208525,LRT
5/12/2019,lrt ampang,211179,LRT
6/12/2019,lrt ampang,223963,LRT
7/12/2019,lrt ampang,166164,LRT
8/12/2019,lrt ampang,128096,LRT
9/12/2019,lrt ampang,207216,LRT
10/12/2019,lrt ampang,207507,LRT
11/12/2019,lrt ampang,204559,LRT
12/12/2019,lrt ampang,209456,LRT
13/12/2019,lrt ampang,215684,LRT
14/12/2019,lrt ampang,149301,LRT
15/12/2019,lrt ampang,119894,LRT
16/12/2019,lrt ampang,201756,LRT
17/12/2019,lrt ampang,202463,LRT
18/12/2019,lrt ampang,207913,LRT
19/12/2019,lrt ampang,207078,LRT
20/12/2019,lrt ampang,222672,LRT
21/12/2019,lrt ampang,158567,LRT
22/12/2019,lrt ampang,130198,LRT
23/12/2019,lrt ampang,200740,LRT
24/12/2019,lrt ampang,201387,LRT
25/12/2019,lrt ampang,131225,LRT
26/12/2019,lrt ampang,187105,LRT
27/12/2019,lrt ampang,196095,LRT
28/12/2019,lrt ampang,132000,LRT
29/12/2019,lrt ampang,113710,LRT
30/12/2019,lrt ampang,185582,LRT
31/12/2019,lrt ampang,234204,LRT
